"STATISTIC","Statistic Label","TLIST(A1)","Year","C02196V04140","County and Region","UNIT","VALUE"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE051","Mid-West","Euro Million","4818.9174955"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE05116","Clare","Euro Million","1205.3075531"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE05118","Limerick","Euro Million","2129.5549125"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE05122","Tipperary","Euro Million","1484.0550299"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE052","South-East","Euro Million","3747.0294009"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE05201","Carlow","Euro Million","474.38963359"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE05207","Kilkenny","Euro Million","826.24084705"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE05214","Wexford","Euro Million","1170.3505317"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE05225","Waterford","Euro Million","1276.0483886"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE053","South-West","Euro Million","6744.7005913"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE05316","Cork","Euro Million","5559.2342812"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE05319","Kerry","Euro Million","1185.4663101"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE06","Eastern and Midland","Euro Million","27863.862111"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE061","Dublin","Euro Million","18108.87013"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE062","Mid-East","Euro Million","7228.1412286"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE06206","Kildare","Euro Million","2550.4659879"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE06210","Louth","Euro Million","1370.4014589"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE06211","Meath","Euro Million","1753.9847529"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE06215","Wicklow","Euro Million","1553.2890289"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE063","Midland","Euro Million","2526.8507522"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE06308","Laois","Euro Million","669.95647617"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE06309","Longford","Euro Million","309.16191312"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE06312","Offaly","Euro Million","672.99431661"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE06313","Westmeath","Euro Million","874.73804633"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","-","State","Euro Million","54456.1"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE04","Northern and Western","Euro Million","7794.4090874"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE041","Border","Euro Million","3381.9053004"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE04128","Leitrim","Euro Million","270.63108966"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE04131","Sligo","Euro Million","722.77603969"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE04132","Cavan","Euro Million","617.26715997"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE04133","Donegal","Euro Million","1192.9045829"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE04134","Monaghan","Euro Million","578.32642821"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE042","West","Euro Million","4412.503787"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE04225","Galway","Euro Million","2550.6791602"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE04229","Mayo","Euro Million","1271.8752205"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE04230","Roscommon","Euro Million","589.9494063"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE05","Southern","Euro Million","16620.798379"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE051","Mid-West","Euro Million","5237.96944"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE05116","Clare","Euro Million","1283.564448"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE05118","Limerick","Euro Million","2322.1477647"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE05122","Tipperary","Euro Million","1632.2572273"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE052","South-East","Euro Million","4074.3753117"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE05201","Carlow","Euro Million","515.38605218"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE05207","Kilkenny","Euro Million","909.53901947"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE05214","Wexford","Euro Million","1290.5903105"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE05225","Waterford","Euro Million","1358.8599295"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE053","South-West","Euro Million","7308.4536271"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE05316","Cork","Euro Million","5990.9455651"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE05319","Kerry","Euro Million","1317.508062"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE06","Eastern and Midland","Euro Million","30040.892534"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE061","Dublin","Euro Million","19257.846759"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE062","Mid-East","Euro Million","7880.8856735"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE06206","Kildare","Euro Million","2745.2407263"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE06210","Louth","Euro Million","1470.1761643"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE06211","Meath","Euro Million","1975.561134"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE06215","Wicklow","Euro Million","1689.9076489"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE063","Midland","Euro Million","2902.1601017"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE06308","Laois","Euro Million","765.87781767"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE06309","Longford","Euro Million","355.31833381"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE06312","Offaly","Euro Million","778.9416926"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2003","2003","IE06313","Westmeath","Euro Million","1002.0222577"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","2004","-","State","Euro Million","59115.7"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","2004","IE04","Northern and Western","Euro Million","8732.1877207"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","2004","IE041","Border","Euro Million","3832.2428492"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","2004","IE04128","Leitrim","Euro Million","311.91559563"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","2004","IE04131","Sligo","Euro Million","811.02340039"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","2004","IE04132","Cavan","Euro Million","705.24927713"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","2004","IE04133","Donegal","Euro Million","1329.3091292"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","2004","IE04134","Monaghan","Euro Million","674.74544688"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","2004","IE042","West","Euro Million","4899.9448715"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","2004","IE04225","Galway","Euro Million","2861.0592355"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","2004","IE04229","Mayo","Euro Million","1384.4225211"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","2004","IE04230","Roscommon","Euro Million","654.46311488"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","2004","IE05","Southern","Euro Million","17923.700655"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","2004","IE051","Mid-West","Euro Million","5569.7384604"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","2004","IE05116","Clare","Euro Million","1355.7584255"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","2004","IE05118","Limerick","Euro Million","2459.3499788"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","2004","IE05122","Tipperary","Euro Million","1754.6300561"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","2004","IE052","South-East","Euro Million","4403.2510151"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","2004","IE05201","Carlow","Euro Million","570.24436144"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","2004","IE05207","Kilkenny","Euro Million","976.42834591"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","2004","IE05214","Wexford","Euro Million","1385.3556966"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","2004","IE05225","Waterford","Euro Million","1471.2226112"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","2004","IE053","South-West","Euro Million","7950.7111797"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","2004","IE05316","Cork","Euro Million","6539.210694"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","2004","IE05319","Kerry","Euro Million","1411.5004857"
